family_id,device_name,device_mac,resample_at,resample_at_utc,event_seq,acvl,resample_acvl,resample_acvl_increment,01_744DBD2A408C_rssi,02_744DBD2A4C34_rssi,04_744DBD2A4BF8_rssi,05_744DBD2A4C0C_rssi,07_744DBD2A40BC_rssi,08_2462ABC02780_rssi,09_744DBD2A4C20_rssi,10_744DBD2A4C00_rssi,12_744DBD2A4BE4_rssi,13_2462ABC1C7E0_rssi
f1c+84864183@careactive.ai,g3mr-samson:TPU,80:6F:B0:7B:93:0E,1742369447,2025/03/19 07:30:47,20498,16273011,16273038.16,0.00,,,,,,-71.86,,,,
f1c+84864183@careactive.ai,g3mr-samson:TPU,80:6F:B0:7B:93:0E,1742369448,2025/03/19 07:30:48,20499,16273113,16273072.19,34.03,,,,,,-74.20,,,,
f1c+84864183@careactive.ai,g3mr-samson:TPU,80:6F:B0:7B:93:0E,1742369449,2025/03/19 07:30:49,20499,16273113,16273106.23,34.03,,,,,,-77.00,,,,
f1c+84864183@careactive.ai,g3mr-samson:TPU,80:6F:B0:7B:93:0E,1742369450,2025/03/19 07:30:50,20499,16273113,16273159.51,53.28,,,,,,-76.47,,,,
f1c+84864183@careactive.ai,g3mr-samson:TPU,80:6F:B0:7B:93:0E,1742369451,2025/03/19 07:30:51,20499,16273113,16273217.57,58.06,,,,,,-75.81,,,,
f1c+84864183@careactive.ai,g3mr-samson:TPU,80:6F:B0:7B:93:0E,1742369452,2025/03/19 07:30:52,20499,16273113,16273275.64,58.06,,,,,,-75.15,,,,
f1c+84864183@careactive.ai,g3mr-samson:TPU,80:6F:B0:7B:93:0E,1742369453,2025/03/19 07:30:53,20501,16273464,16273333.70,58.06,,,,,,-74.48,,,,
f1c+84864183@careactive.ai,g3mr-samson:TPU,80:6F:B0:7B:93:0E,1742369454,2025/03/19 07:30:54,20501,16273464,16273391.77,58.06,,,,,,-73.82,,,,
f1c+84864183@careactive.ai,g3mr-samson:TPU,80:6F:B0:7B:93:0E,1742369455,2025/03/19 07:30:55,20501,16273464,16273449.83,58.06,,,,,,-73.00,,,,
f1c+84864183@careactive.ai,g3mr-samson:TPU,80:6F:B0:7B:93:0E,1742369456,2025/03/19 07:30:56,20501,16273464,16273531.17,81.33,,,,,,-72.75,,,,
f1c+84864183@careactive.ai,g3mr-samson:TPU,80:6F:B0:7B:93:0E,1742369457,2025/03/19 07:30:57,20502,16273734,16273620.01,88.85,,,,,,-72.42,,,,
f1c+84864183@careactive.ai,g3mr-samson:TPU,80:6F:B0:7B:93:0E,1742369458,2025/03/19 07:30:58,20502,16273734,16273708.86,88.85,,,,,,-72.00,,,,
f1c+84864183@careactive.ai,g3mr-samson:TPU,80:6F:B0:7B:93:0E,1742369459,2025/03/19 07:30:59,20502,16273734,16273760.13,51.27,,,,,,-71.68,,,,
f1c+84864183@careactive.ai,g3mr-samson:TPU,80:6F:B0:7B:93:0E,1742369460,2025/03/19 07:31:00,20502,16273734,16273796.58,36.44,,,,,,-71.23,,,,
f1c+84864183@careactive.ai,g3mr-samson:TPU,80:6F:B0:7B:93:0E,1742369461,2025/03/19 07:31:01,20502,16273734,16273833.02,36.44,,,,,,-70.79,,,,
f1c+84864183@careactive.ai,g3mr-samson:TPU,80:6F:B0:7B:93:0E,1742369462,2025/03/19 07:31:02,20502,16273734,16273869.47,36.44,,,,,,-70.34,,,,
f1c+84864183@careactive.ai,g3mr-samson:TPU,80:6F:B0:7B:93:0E,1742369463,2025/03/19 07:31:03,20505,16274060,16273905.91,36.44,,,,,,-69.89,,,,
f1c+84864183@careactive.ai,g3mr-samson:TPU,80:6F:B0:7B:93:0E,1742369464,2025/03/19 07:31:04,20505,16274060,16273942.36,36.44,,,,,,-69.44,,,,
f1c+84864183@careactive.ai,g3mr-samson:TPU,80:6F:B0:7B:93:0E,1742369465,2025/03/19 07:31:05,20505,16274060,16273978.80,36.44,,,,,,-69.00,,,,
f1c+84864183@careactive.ai,g3mr-samson:TPU,80:6F:B0:7B:93:0E,1742369466,2025/03/19 07:31:06,20505,16274060,16274015.25,36.44,,,,,,-68.55,,,,
f1c+84864183@careactive.ai,g3mr-samson:TPU,80:6F:B0:7B:93:0E,1742369467,2025/03/19 07:31:07,20505,16274060,16274051.69,36.44,,,,,,-68.00,,,,
f1c+84864183@careactive.ai,g3mr-samson:TPU,80:6F:B0:7B:93:0E,1742369468,2025/03/19 07:31:08,20505,16274060,16274104.54,52.85,,,,,,-67.61,,,,
f1c+84864183@careactive.ai,g3mr-samson:TPU,80:6F:B0:7B:93:0E,1742369469,2025/03/19 07:31:09,20505,16274060,16274162.23,57.69,,,,,,-67.12,,,,
f1c+84864183@careactive.ai,g3mr-samson:TPU,80:6F:B0:7B:93:0E,1742369470,2025/03/19 07:31:10,20505,16274060,16274219.91,57.69,,,,,,-66.62,,,,
f1c+84864183@careactive.ai,g3mr-samson:TPU,80:6F:B0:7B:93:0E,1742369471,2025/03/19 07:31:11,20507,16274407,16274277.60,57.69,,,,,,-66.12,,,,
f1c+84864183@careactive.ai,g3mr-samson:TPU,80:6F:B0:7B:93:0E,1742369472,2025/03/19 07:31:12,20507,16274407,16274335.29,57.69,,,,,,-65.62,,,,
f1c+84864183@careactive.ai,g3mr-samson:TPU,80:6F:B0:7B:93:0E,1742369473,2025/03/19 07:31:13,20507,16274407,16274392.98,57.69,,,,,,-65.00,,,,
f1c+84864183@careactive.ai,g3mr-samson:TPU,80:6F:B0:7B:93:0E,1742369474,2025/03/19 07:31:14,20507,16274407,16274476.65,83.67,,,,,,-66.77,,,,
