family_id,device_name,device_mac,sample_at_ms,sample_at_utc,sample_at_source,sample_at_station,event_seq,seq_diff,acvl,cvl_increment,xyz_count,ref_station_id,ref_scanned_at_ms,01_744DBD2A408C_rssi,02_744DBD2A4C34_rssi,04_744DBD2A4BF8_rssi,05_744DBD2A4C0C_rssi,07_744DBD2A40BC_rssi,08_2462ABC02780_rssi,09_744DBD2A4C20_rssi,10_744DBD2A4C00_rssi,12_744DBD2A4BE4_rssi,13_2462ABC1C7E0_rssi
f1c+84864183@careactive.ai,g3mr-samson:TPU,80:6F:B0:7B:93:0E,1742369446202,2025/03/19 07:30:46.202,1,,20498,20498,16273011,-1,5,T4-2462ABC02780,1742369446202,,,,,,-70,,,,
f1c+84864183@careactive.ai,g3mr-samson:TPU,80:6F:B0:7B:93:0E,1742369449199,2025/03/19 07:30:49.199,1,,20499,1,16273113,102,5,T4-2462ABC02780,1742369449199,,,,,,-77,,,,
f1c+84864183@careactive.ai,g3mr-samson:TPU,80:6F:B0:7B:93:0E,1742369455244,2025/03/19 07:30:55.244,1,,20501,2,16273464,351,5,T4-2462ABC02780,1742369455244,,,,,,-73,,,,
f1c+84864183@careactive.ai,g3mr-samson:TPU,80:6F:B0:7B:93:0E,1742369458283,2025/03/19 07:30:58.283,1,,20502,1,16273734,270,5,T4-2462ABC02780,1742369458283,,,,,,-72,,,,
f1c+84864183@careactive.ai,g3mr-samson:TPU,80:6F:B0:7B:93:0E,1742369467228,2025/03/19 07:31:07.228,1,,20505,3,16274060,326,5,T4-2462ABC02780,1742369467228,,,,,,-68,,,,
f1c+84864183@careactive.ai,g3mr-samson:TPU,80:6F:B0:7B:93:0E,1742369473243,2025/03/19 07:31:13.243,1,,20507,2,16274407,347,3,T4-2462ABC02780,1742369473243,,,,,,-65,,,,
f1c+84864183@careactive.ai,g3mr-samson:TPU,80:6F:B0:7B:93:0E,1742369476232,2025/03/19 07:31:16.232,1,,20508,1,16274682,275,5,T4-2462ABC02780,1742369476232,,,,,,-72,,,,
f1c+84864183@careactive.ai,g3mr-samson:TPU,80:6F:B0:7B:93:0E,1742369482256,2025/03/19 07:31:22.256,1,,20510,2,16274961,279,5,T4-2462ABC02780,1742369482256,,,,,,-67,,,,
f1c+84864183@careactive.ai,g3mr-samson:TPU,80:6F:B0:7B:93:0E,1742369492801,2025/03/19 07:31:32.801,1,,20513,3,16275373,412,5,T4-2462ABC02780,1742369492801,,,,,,-90,,,,
f1c+84864183@careactive.ai,g3mr-samson:TPU,80:6F:B0:7B:93:0E,1742369494262,2025/03/19 07:31:34.262,1,,20514,1,16275486,113,2,T4-2462ABC02780,1742369494262,,,,,,-63,,,,
f1c+84864183@careactive.ai,g3mr-samson:TPU,80:6F:B0:7B:93:0E,1742369503273,2025/03/19 07:31:43.273,1,,20517,3,16275610,124,2,T4-2462ABC02780,1742369503273,,,,,,-71,,,,
